"Story","Title","Result","Date","Stability","Duration (s)"
"Login en la pagina your company","Realizar un login Fallido","SUCCESS","2024-12-09T23:15:56.0563074-05:00[America/Bogota]","0.0","15.3"
"Login en la pagina your company","Realizar un login Exitoso","SUCCESS","2024-12-09T23:16:11.6269526-05:00[America/Bogota]","0.0","9.18"
