"Story","Title","Result","Date","Stability","Duration (s)"
"Login en la pagina your company","Realizar un login Exitoso","SUCCESS","2024-12-09T23:16:11.6269526-05:00[America/Bogota]","0.0","9.18"
"Login en la pagina your company","El suaurio realiza un login Exitoso","SUCCESS","2024-12-10T09:21:39.5318145-05:00[America/Bogota]","0.0","8.55"
